id,source,Latitude,Longitude,Permanent_Identifier,GNIS_Name,GNIS_ID,dist_dd,Station,Description,Slope,notes,lake_abbv,FDate,Resolution,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,NHDPlusID,VPUID,NW
16,centers,40.8015544503906,-106.485345041797,128861453,NA,NA,8.4791360548998e-4,NA,NA,NA,NA,NA,2004-11-01T09:09:03Z,2,0.03,NA,10180001002189,390,39001,0,0.0066497235588124,3.15607464131543e-6,23001800220903,1018,no
17,centers,40.794149446875,-106.364107009375,128857219,NA,NA,2.9905799672405e-4,NA,NA,NA,NA,NA,2004-11-01T09:07:48Z,2,0.025,NA,10180001012995,390,39001,0,0.0165544179517698,2.64582889621379e-6,23001800220911,1018,no
18,centers,40.7830473039063,-106.540199058594,128855379,NA,NA,4.8015015840908e-4,NA,NA,NA,NA,NA,2004-11-01T09:05:50Z,2,0.016,NA,10180001002193,390,39004,0,0.00546887082333498,1.72241569022092e-6,23001800219127,1018,no
19,centers,41.359621571875,-106.295869065625,132226933,Lewis Lake,1590663,0.0011063394777559,NA,NA,NA,NA,NA,2014-11-06T16:00:00Z,2,0.06825899,NA,10180010001803,390,39004,0,0.0120995307911948,7.34506163970466e-6,23001800219139,1018,no
20,centers,41.3621957453125,-106.285644732812,132226919,Sandy Lake,1704453,4.1832847748828e-4,NA,NA,NA,NA,NA,2005-02-16T02:53:35Z,2,0.016,NA,10180010008970,390,39004,0,0.0063792176801441,1.7701427989878e-6,23001800220486,1018,no
21,centers,41.3448858164063,-106.285787689844,132227040,Black Jack Lake,1585597,4.6332540981785e-4,NA,NA,NA,NA,NA,2005-02-16T03:00:27Z,2,0.011,NA,10180010001815,390,39004,0,0.00418564551944761,1.15573778531438e-6,23001800220488,1018,no
22,centers,42.4853253777344,-105.679095354297,136457245,NA,NA,5.7507682015032e-4,NA,NA,NA,NA,NA,2005-06-27T14:55:50Z,2,0.014,NA,10180008010984,390,39004,0,0.00510398142739844,1.52696494635381e-6,23001800226656,1018,no
23,centers,41.4185405583984,-107.281294723242,154881959,Rawlins Reservoir,1606237,7.3693727638464e-4,NA,NA,NA,NA,NA,2007-05-04T03:27:49Z,2,0.098,NA,10180002001927,390,39004,0,0.0212826564809497,1.05872973605654e-5,23001800226003,1018,no
24,centers,41.4383729035156,-106.136212979297,132226660,Sevenmile Lake,1602804,5.3420242332368e-4,NA,NA,NA,NA,NA,2005-02-16T02:38:59Z,2,0.01,NA,10180010001760,390,39004,0,0.00393245128148649,1.10948704765124e-6,23001800223910,1018,no
25,centers,41.3551285960937,-106.273071299219,132226988,Jeep Lake,1704439,4.0568748872801e-4,NA,NA,NA,NA,NA,2005-02-16T02:57:31Z,2,0.015,NA,10180010009032,390,39004,0,0.00584819980259874,1.63112550160353e-6,23001800223916,1018,no
26,centers,41.3759334455078,-106.321931788477,139355926,Little Long Lake,1704444,4.3236345870763e-4,NA,NA,NA,NA,NA,2014-11-12T16:00:00Z,2,0.01990989,NA,10180004001048,390,39004,0,0.0082437046361926,2.14297207349256e-6,23001800229449,1018,no
27,centers,41.4591103592773,-106.360448091113,139355425,NA,NA,0.00116492910887476,NA,NA,NA,NA,NA,2014-11-12T16:00:00Z,2,0.11080087,NA,10180004016031,390,39004,0,0.0185747033057644,1.19407535891838e-5,23001800229877,1018,no
28,centers,41.0454828453125,-106.464471398437,154884674,NA,NA,4.4311844745313e-4,NA,NA,NA,NA,NA,2008-01-18T00:46:53Z,2,0.029,NA,10180002013751,390,39001,0,0.00899527791322352,3.06100470601958e-6,23001800229667,1018,no
29,centers,40.911925190625,-106.763493028125,154885296,West Fork Lake,169924,7.9143813577142e-4,NA,NA,NA,NA,NA,2014-06-10T17:00:00Z,2,0.04331818,NA,10180002002035,390,39004,0,0.0105332698084296,4.63007692138538e-6,23001800226933,1018,no
30,centers,40.5095167445312,-106.333203882031,128867232,Hap Reservoir,172656,4.3819239048361e-4,NA,NA,NA,NA,NA,2004-11-01T09:14:45Z,2,0.019,NA,10180001002314,390,39004,0,0.00786040741288683,2.02715444479058e-6,23001800221726,1018,no
31,centers,40.739292068335,-106.322721159644,128867035,Walden Reservoir,201916,0.00281763968695234,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,3.10156875,2451.8112,10180001002212,390,39009,0,0.201938900897512,3.3064260940249e-4,23001800221729,1018,no
32,centers,42.084589025,-105.486534875,136893543,NA,NA,4.9067254489832e-4,NA,NA,NA,NA,NA,2005-07-06T07:18:17Z,2,0.017,NA,10180011005494,390,39004,0,0.006263782924741,1.81806881432753e-6,23001800223110,1018,no
33,centers,41.396050690625,-106.251624196875,{EB48B160-C7F4-4D19-8926-533FE7D4AFF0},NA,NA,5.6427648457751e-4,NA,NA,NA,NA,NA,2016-10-19T17:00:00Z,2,0.01680225,NA,10180004019044,390,39001,0,0.00516329013032959,1.80902196598037e-6,23001800230332,1018,no
34,centers,41.396609978125,-106.249585696875,{97025EBA-6EFD-4A6B-B4FC-3FDFE5D1B1F8},NA,NA,4.9908216352251e-4,NA,NA,NA,NA,NA,2016-10-19T17:00:00Z,2,0.01247124,NA,10180004019045,390,39001,0,0.0053810708691968,1.34273125902341e-6,23001800230333,1018,no
35,centers,40.7222334203125,-106.353780332812,128866100,NA,NA,4.1884118438723e-4,NA,NA,NA,NA,NA,2004-11-01T09:12:36Z,2,0.011,NA,10180001013800,390,39001,0,0.00457431664759606,1.15166254977272e-6,23001800221732,1018,no
36,centers,40.6483788433594,-106.619176536328,128867119,Lower Rainbow Lake,172337,7.1348080848073e-4,NA,NA,NA,NA,NA,2014-06-09T17:00:00Z,2,0.02951721,NA,10180001002243,390,39004,0,0.0082664306506066,3.14264267473997e-6,23001800228390,1018,no
37,centers,40.6964444539063,-105.946959252344,132228923,Lower Sandbar Lake,177060,6.2801513205877e-4,NA,NA,NA,NA,NA,2005-02-16T04:46:04Z,2,0.015,3252.2,10180010002001,390,39009,0,0.00468252839815796,1.61808095941155e-6,23001800222682,1018,no
38,centers,40.5848656710937,-106.678525786719,128856090,Round Mountain Lake,172539,6.5972107352741e-4,NA,NA,NA,NA,NA,2004-11-01T09:07:16Z,2,0.034,NA,10180001002269,390,39004,0,0.00851705303964581,3.66431589751483e-6,23001800227961,1018,no
39,centers,40.8703290019531,-106.430685773047,128866914,NA,NA,2.6362512275721e-4,NA,NA,NA,NA,NA,2004-11-01T09:13:11Z,2,0.014,NA,10180001013895,390,39001,0,0.0103978057748643,1.4637536221921e-6,23001800226092,1018,no
40,centers,41.3273728996094,-106.258214631641,132227154,NA,NA,2.947974672061e-4,NA,NA,NA,NA,NA,2005-02-16T03:06:53Z,2,0.011,NA,10180010009174,390,39004,0,0.00558342741566342,1.18685967855646e-6,23001800229304,1018,no
41,centers,40.856006684375,-106.426033578125,128866939,NA,NA,3.1258773006544e-4,NA,NA,NA,NA,NA,2004-11-01T09:13:19Z,2,0.012,NA,10180001013913,390,39004,0,0.00709149540074883,1.3256181447951e-6,23001800220452,1018,no
42,centers,40.8529837511719,-106.297984832422,128866943,NA,NA,1.3381506346884e-4,NA,NA,NA,NA,NA,2004-11-01T09:13:20Z,2,0.018,NA,10180001013916,390,39004,0,0.0216203464879538,1.89479745191669e-6,23001800229723,1018,no
43,centers,40.6488215882813,-106.624588492969,128867116,Middle Rainbow Lake,202040,5.5479507452063e-4,NA,NA,NA,NA,NA,2004-11-01T09:14:10Z,2,0.025,NA,10180001002241,390,39004,0,0.00733967828574723,2.62588973184719e-6,23001800224306,1018,no
44,centers,40.8139456304688,-106.486171694531,128866982,NA,NA,7.1367456282625e-4,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.02787149,2465.832,10180001002185,390,39009,0,0.00676080980871451,2.97471949297528e-6,23001800224307,1018,no
45,centers,40.857807325,-106.497029125,128861465,NA,NA,0.0011892937293041,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.05898185,2483.8152,10180001002163,390,39009,0,0.00964220560145328,6.29920860933711e-6,23001800220017,1018,no
46,centers,40.5009748660156,-105.967002398828,128856538,Ranger Lakes,202443,4.1441335773297e-4,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.03000122,2743.2,10180001002326,390,39009,0,0.011211013356923,3.18724684561593e-6,23001800220022,1018,no
47,centers,41.42260508125,-105.41967126875,143279913,NA,NA,5.0080364040016e-4,NA,NA,NA,NA,NA,2005-11-29T02:31:42Z,2,0.036,2424.7,10180012000883,390,39009,0,0.013303165038453,3.86346530357378e-6,23001800223672,1018,no
48,centers,40.5038409464844,-106.327675204297,128867238,Ridings Reservoir,172660,7.4725908454727e-4,NA,NA,NA,NA,NA,2004-11-01T09:14:47Z,2,0.034,NA,10180001002316,390,39004,0,0.00866442640191038,3.60143307320784e-6,23001800223868,1018,no
49,centers,42.0216496832031,-105.241539790234,136893763,Bohke Reservoir,1605834,4.680504987768e-4,NA,NA,NA,NA,NA,2005-07-06T07:22:14Z,2,0.013,NA,10180011005661,390,39004,0,0.00568516563507689,1.41247768450687e-6,23001800227098,1018,no
50,centers,41.572817309375,-105.047466946875,143279716,Hirsig Number 1 Reservoir,1608868,4.9414687502746e-4,NA,NA,NA,NA,NA,2005-11-29T02:27:41Z,2,0.031,NA,10180012000874,390,39004,0,0.010480666690537,3.30014553865955e-6,23001800224088,1018,no
51,centers,40.7193308769531,-105.937007991016,132228887,Lost Lake,177066,8.6400427261634e-4,NA,NA,NA,NA,NA,2005-02-16T04:44:02Z,2,0.037,3095.3,10180010001994,390,39009,0,0.00962141371023605,3.95111140553074e-6,23001800224810,1018,no
52,centers,40.5017852445312,-106.605878446094,128865823,Ross Reservoir,172575,6.5710952666669e-4,NA,NA,NA,NA,NA,2014-06-09T17:00:00Z,2,0.02336703,NA,10180001002311,390,39004,0,0.00715390002648076,2.48249350111119e-6,23001800227949,1018,no
53,centers,40.4728567292969,-106.663190012891,128862630,Round Lake,172757,0.00127435842775767,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.06200683,3066.288,10180001002346,390,39009,0,0.00939526200379385,6.58475552397936e-6,23001800227956,1018,no
54,centers,42.2080033890625,-105.714909492187,136893163,NA,NA,0.00204150809374613,NA,NA,NA,NA,NA,2005-07-06T07:10:32Z,2,0.317,NA,10180011005165,390,39004,0,0.0381698833014302,3.4572612181521e-5,23001800227090,1018,no
55,centers,41.596265009375,-105.474679015625,136894562,NA,NA,2.6802076427007e-4,NA,NA,NA,NA,NA,2005-07-06T07:39:05Z,2,0.01,NA,10180011001314,390,39004,0,0.00567277037465401,1.11897325648701e-6,23001800227110,1018,no
56,centers,41.5428204941406,-105.243454594922,136894603,Farthing Reservoir,1588394,5.8817582350419e-4,NA,NA,NA,NA,NA,2005-07-06T07:40:01Z,2,0.028,NA,10180011001319,390,39004,0,0.00800342211627939,3.05901015713426e-6,23001800227111,1018,no
57,centers,42.2960314628906,-105.702770685547,136892937,Soldier Creek Reservoir,1603071,9.0911705755985e-4,NA,NA,NA,NA,NA,2005-07-06T07:05:52Z,2,0.123,2307,10180011001215,390,39009,0,0.0286432525680264,1.33940316629524e-5,23001800228021,1018,no
58,centers,40.636056478125,-106.406899365625,128857886,NA,NA,1.8063030495661e-4,NA,NA,NA,NA,NA,2004-11-01T09:08:08Z,2,0.012,NA,10180001013053,390,39001,0,0.0116722096238819,1.32526212923356e-6,23001800222628,1018,no
59,centers,41.3935753570312,-106.235770549219,132226758,North Twin Lakes,1601871,4.3179389458686e-4,NA,NA,NA,NA,NA,2005-02-16T02:44:28Z,2,0.014,NA,10180010001774,390,39004,0,0.00511028299565994,1.47573270209658e-6,23001800222642,1018,no
60,centers,40.4882027542969,-106.269653310547,128856210,NA,NA,7.4161086388409e-4,NA,NA,NA,NA,NA,2004-11-01T09:07:28Z,2,0.061,NA,10180001002323,390,39001,0,0.0171192207233072,6.44664187774719e-6,23001800222631,1018,no
61,centers,40.51148978125,-106.65702975625,128856079,Grizzly Lake,172550,5.0464723653744e-4,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.01671113,3109.5696,10180001002352,390,39009,0,0.00571588487252602,1.77562153450366e-6,23001800222201,1018,no
62,centers,40.5100874291016,-106.502791693164,29640d3c-b464-49fc-86ee-df10fc6eb28b,NA,NA,0.0018387919091468,NA,NA,NA,NA,NA,2011-05-20T00:08:10Z,2,0.253,NA,10180001014631,390,39011,0,0.0323779819805272,2.69247773031905e-5,23001800226034,1018,no
63,centers,41.4901991894531,-106.367317092578,139354999,NA,NA,5.5206656826584e-4,NA,NA,NA,NA,NA,2014-11-12T16:00:00Z,2,0.04395173,NA,10180004001005,390,39004,0,0.0150861936025643,4.73889200827949e-6,23001800226264,1018,no
64,centers,40.7816856910156,-106.645485133203,128862716,NA,NA,6.3849942796368e-4,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.02021877,3347.9232,10180001002365,390,39009,0,0.00579808166454166,2.15691200885981e-6,23001800222193,1018,no
65,centers,40.6018553359375,-106.422322235937,128867158,Petry Lake,199991,4.599900920692e-4,NA,NA,NA,NA,NA,2004-11-01T09:14:22Z,2,0.042,NA,10180001014066,390,39004,0,0.0167145905314182,4.46291837066948e-6,23001800229275,1018,no
66,centers,40.601901840625,-106.442727384375,128867160,NA,NA,6.6204062500219e-4,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.01733834,NA,10180001002270,390,39004,0,0.00509020960993416,1.84472379758861e-6,23001800229276,1018,no
67,centers,40.6674450457031,-106.445185201953,128867100,NA,NA,3.1702818780884e-4,NA,NA,NA,NA,NA,2004-11-01T09:14:06Z,2,0.013,NA,10180001014024,390,39001,0,0.00859614468854154,1.33599878250371e-6,23001800229278,1018,no
68,centers,40.4090004828125,-106.364121842188,128867315,Flat Lake,172843,5.2915284866169e-4,NA,NA,NA,NA,NA,2014-06-09T17:00:00Z,2,0.01447901,NA,10180001002339,390,39004,0,0.00481316510023305,1.53614770585278e-6,23001800229715,1018,no
69,centers,40.41799735625,-106.36714094375,128867306,NA,NA,5.9177433990191e-4,NA,NA,NA,NA,NA,2014-06-09T17:00:00Z,2,0.01702474,NA,10180001002337,390,39004,0,0.00586803423221519,1.80648022774355e-6,23001800229716,1018,no
70,centers,40.6882587117188,-106.350606096094,128866111,NA,NA,7.7936992062016e-4,NA,NA,NA,NA,NA,2004-11-01T09:12:38Z,2,0.026,NA,10180001002226,390,39001,0,0.00628726373349611,2.74046784262178e-6,23001800221324,1018,no
71,centers,40.6261522476563,-106.400694186719,128857871,NA,NA,1.3216116313448e-4,NA,NA,NA,NA,NA,2004-11-01T09:08:04Z,2,0.011,NA,10180001013039,390,39001,0,0.0136604948546558,1.1358163453995e-6,23001800221335,1018,no
72,centers,41.3610950964844,-106.303354141797,132226915,Klondike Lake,1590393,7.1757055657391e-4,NA,NA,NA,NA,NA,2014-11-06T16:00:00Z,2,0.03947237,NA,10180010001798,390,39004,0,0.0130735754717136,4.24757347326482e-6,23001800221349,1018,no
73,centers,40.6942418339844,-106.533830776172,128863920,NA,NA,0.00102233925439697,NA,NA,NA,NA,NA,2004-11-01T09:10:50Z,2,0.057,NA,10180001002221,390,39004,0,0.0105802413135277,6.12059478988829e-6,23001800224760,1018,no
74,centers,40.8082396404297,-106.35096710293,128857245,NA,NA,3.2069966853785e-4,NA,NA,NA,NA,NA,2004-11-01T09:07:56Z,2,0.012,NA,10180001013018,390,39001,0,0.00634459472239374,1.28588722489368e-6,23001800228410,1018,no
75,centers,40.831191625,-106.519461175,128855473,NA,NA,5.7342864803739e-4,NA,NA,NA,NA,NA,2004-11-01T09:06:21Z,2,0.017,NA,10180001002177,390,39004,0,0.00504910859853377,1.78671421000971e-6,23001800228411,1018,no
76,centers,40.8406887183594,-106.518140122266,128855459,NA,NA,5.2280735585081e-4,NA,NA,NA,NA,NA,2004-11-01T09:06:16Z,2,0.013,NA,10180001002171,390,39004,0,0.00470310469891105,1.43690105555218e-6,23001800228855,1018,no
77,centers,41.4156393765625,-106.255492017187,139355821,NA,NA,4.4023811800115e-4,NA,NA,NA,NA,NA,2005-08-29T05:14:15Z,2,0.012,NA,10180004001024,390,39004,0,0.00470563172761972,1.28475890488831e-6,23001800221917,1018,no
78,centers,41.4900497574219,-106.346442219141,139355019,NA,NA,3.1729352117526e-4,NA,NA,NA,NA,NA,2005-08-29T04:56:12Z,2,0.012,NA,10180004015650,390,39004,0,0.0064399593575637,1.29955391596858e-6,23001800222346,1018,no
79,centers,41.4778618851563,-106.363952621094,139355185,NA,NA,2.9591510938606e-4,NA,NA,NA,NA,NA,2005-08-29T05:00:30Z,2,0.014,NA,10180004015812,390,39004,0,0.00800792151862954,1.53894463521832e-6,23001800222348,1018,no
80,centers,42.2070323820313,-105.666452208594,136893180,NA,NA,3.9877836139565e-4,NA,NA,NA,NA,NA,2005-07-06T07:10:56Z,2,0.01,NA,10180011005185,390,39004,0,0.00443549766445752,1.13026635203491e-6,23001800222698,1018,no
81,centers,42.3548393132812,-105.145033433594,136458242,NA,NA,5.9428559676115e-4,NA,NA,NA,NA,NA,2005-06-27T15:05:21Z,2,0.015,NA,10180008011880,390,39004,0,0.00497007286031279,1.68967613252031e-6,23001800224416,1018,no
82,centers,41.847125171875,-105.390472934375,136894093,NA,NA,3.9978330397837e-4,NA,NA,NA,NA,NA,2005-07-06T07:28:38Z,2,0.011,NA,10180011005918,390,39001,0,0.00515107410802808,1.15352106310052e-6,23001800224839,1018,no
83,centers,40.5000104992187,-106.608357205469,128867235,NA,NA,4.9403622030099e-4,NA,NA,NA,NA,NA,2004-11-01T09:14:46Z,2,0.023,NA,10180001014229,390,39001,0,0.0109593276393675,2.41525260807312e-6,23001800219095,1018,no
84,centers,40.92103251875,-106.80545819375,154885258,NA,NA,4.4828705121282e-4,NA,NA,NA,NA,NA,2014-06-10T17:00:00Z,2,0.01380199,NA,10180002014050,390,39004,0,0.0061239519837189,1.47542606214767e-6,23001800225108,1018,no
85,centers,42.4540730730469,-105.419777308984,136457526,Indian Reservoir Number 1,1605874,4.1832441076291e-4,NA,NA,NA,NA,NA,2005-06-27T14:58:33Z,2,0.011,NA,10180008001409,390,39004,0,0.00489341850456814,1.15346296756318e-6,23001800220127,1018,no
86,centers,41.42504295,-106.27991225,139355782,Corral Lake,1598919,3.5225538255369e-4,NA,NA,NA,NA,NA,2005-08-29T05:16:52Z,2,0.012,NA,10180004016395,390,39004,0,0.00627585131546124,1.30426641375558e-6,23001800222790,1018,no
87,centers,41.3580907015625,-106.262997467188,132226960,NA,NA,3.6363034935682e-4,NA,NA,NA,NA,NA,2005-02-16T02:55:55Z,2,0.01,NA,10180010001804,390,39004,0,0.00450579375143553,1.05827359004853e-6,23001800202892,1018,no
88,centers,40.7280741148438,-106.405370477344,128867050,NA,NA,2.7397734373835e-4,NA,NA,NA,NA,NA,2004-11-01T09:13:51Z,2,0.014,NA,10180001013995,390,39001,0,0.0108356258503725,1.53157614860004e-6,23001800226538,1018,no
89,centers,42.4473237140625,-105.158462301563,136457648,NA,NA,3.8278038140516e-4,NA,NA,NA,NA,NA,2005-06-27T14:59:44Z,2,0.012,NA,10180008011352,390,39001,0,0.0053611323324784,1.26798239605217e-6,23001800223130,1018,no
90,centers,40.97848838125,-106.39115274375,154885136,NA,NA,3.9026353715126e-4,NA,NA,NA,NA,NA,2007-05-04T03:35:40Z,2,0.01,NA,10180002013990,390,39004,0,0.00431052239567294,1.10221324545819e-6,23001800221266,1018,no
91,centers,41.4220886617188,-106.242276714844,139355795,Golden Lake,1704436,5.886652610802e-4,NA,NA,NA,NA,NA,2005-08-29T05:13:41Z,2,0.018,NA,10180004001021,390,39004,0,0.00566989297864997,1.98831060491758e-6,23001800228572,1018,no
92,centers,42.5492975804687,-105.730857882031,153795493,NA,NA,5.1440795816547e-4,NA,NA,NA,NA,NA,2007-12-27T02:11:57Z,2,0.013,NA,10180007002902,390,39004,0,0.00547708753612031,1.4282826022207e-6,23001800219466,1018,no
93,centers,40.7706960628906,-105.863177410547,132228810,NA,NA,4.485432865058e-4,NA,NA,NA,NA,NA,2014-04-23T17:00:00Z,2,0.0102614,NA,10180010010684,390,39004,0,0.00534370636165071,1.09449149584667e-6,23001800202473,1018,no
94,centers,41.8305366746094,-105.428727631641,136894112,NA,NA,3.956896710841e-4,NA,NA,NA,NA,NA,2005-07-06T07:29:05Z,2,0.012,NA,10180011001284,390,39001,0,0.00655778421712933,1.31241333591642e-6,23001800221834,1018,no
95,centers,40.7175431109375,-106.324620473438,128866106,NA,NA,4.9016201525929e-4,NA,NA,NA,NA,NA,2004-11-01T09:12:38Z,2,0.012,NA,10180001002220,390,39001,0,0.00425477206712194,1.26523767385386e-6,23001800226541,1018,no
96,centers,40.5353944125,-106.5088242625,128865768,NA,NA,5.7033599225714e-4,NA,NA,NA,NA,NA,2012-10-22T17:00:00Z,2,0.01364995,2561.844,10180001013740,390,39005,0,0.0044570641738505,1.45087414438226e-6,23001800226542,1018,no
97,centers,40.4977863871094,-106.413892042578,128865403,NA,NA,2.464827996152e-4,NA,NA,NA,NA,NA,2004-11-01T09:11:53Z,2,0.011,NA,10180001013686,390,39004,0,0.0058190129101745,1.14717798313313e-6,23001800227462,1018,no
98,centers,41.3977645988281,-106.253887276953,139355882,NA,NA,5.0269015836469e-4,NA,NA,NA,NA,NA,2005-08-29T05:15:31Z,2,0.011,NA,10180004001035,390,39004,0,0.00439223634043353,1.16715911862327e-6,23001800228573,1018,no
99,centers,41.4119797720703,-106.353835757227,139355798,East Banner Lake,1599446,6.1018911345083e-4,NA,NA,NA,NA,NA,2014-11-12T16:00:00Z,2,0.03286175,NA,10180004001020,390,39004,0,0.00944980873182914,3.53893203900438e-6,23001800220633,1018,no
100,centers,40.7054701988281,-105.977835388672,132228916,Iceberg Lake,177063,6.9372859888046e-4,NA,NA,NA,NA,NA,2005-02-16T04:45:41Z,2,0.024,3381.8,10180010001997,390,39009,0,0.00655730780586883,2.52312226551502e-6,23001800202476,1018,no
101,centers,41.6946226927734,-105.109076902539,136894448,Morrison Number 2 Reservoir,1605816,4.2306655070963e-4,NA,NA,NA,NA,NA,2005-07-06T07:36:32Z,2,0.016,NA,10180011001309,390,39004,0,0.00752812240758858,1.77779361891575e-6,23001800221840,1018,no
102,centers,40.5332653074219,-106.617743122266,128865819,Sawmill Lake,172573,0.00100004095186599,NA,NA,NA,NA,NA,2014-06-09T17:00:00Z,2,0.04561351,NA,10180001002296,390,39004,0,0.00918571826089865,4.84818393085587e-6,23001800219099,1018,no
103,centers,40.47475703125,-106.60384825625,128864442,NA,NA,4.611740711053e-4,NA,NA,NA,NA,NA,2004-11-01T09:11:28Z,2,0.015,NA,10180001013612,390,39004,0,0.00551560620368265,1.60688212832283e-6,23001800227464,1018,no
104,centers,42.2883715421875,-105.681503835938,136892959,NA,NA,6.5751383245986e-4,NA,NA,NA,NA,NA,2014-12-04T16:00:00Z,2,0.02624832,NA,10180011004970,390,39004,0,0.00713238517387225,2.86512723080548e-6,23001800203350,1018,no
105,centers,41.3651480308594,-106.345773711328,154883042,Dipper Lake,1587635,0.00139978991980858,NA,NA,NA,NA,NA,2008-01-18T00:45:30Z,2,0.104,NA,10180002001968,390,39004,0,0.0160817450424808,1.12133939852176e-5,23001800227882,1018,no
